JAVA,FACIL
WEB,FACIL
LUA,FACIL
DADO,FACIL
HTML,FACIL
CSS,FACIL
SCRIPT,FACIL
CODIGO,FACIL
ARRAY,FACIL
FUNCAO,FACIL
BROWSER,FACIL
SENHA,FACIL
LINUX,FACIL
JAVA,FACIL
PYTHON,FACIL
TELA,FACIL
LOOP,FACIL
VARIAVEL,FACIL
WINDOWS,FACIL
CELULAR,FACIL
APP,FACIL
ROTEIRO,FACIL
BANCO,FACIL
SISTEMA,FACIL
MEMORIA,FACIL
REDES,FACIL
INTERNET,FACIL
ARQUIVO,FACIL
APP,FACIL
EMAIL,FACIL

HASKELL,DIFICIL
RECURSAO,DIFICIL
PARADIGMA,DIFICIL
COMPILADOR,DIFICIL
HASKELL,DIFICIL
RECURSAO,DIFICIL
PARADIGMA,DIFICIL
COMPILADOR,DIFICIL
ALGORITMO,DIFICIL
FRAMEWORK,DIFICIL
INTERFACE,DIFICIL
HERANCA,DIFICIL
POLIMORFISMO,DIFICIL
PROTOCOLO,DIFICIL
BINARIO,DIFICIL
CRIPTGRAFIA,DIFICIL
REDEFINITION,DIFICIL
ASSEMBLY,DIFICIL
THREAD,DIFICIL
METADADO,DIFICIL
PIPELINE,DIFICIL
SINCRONIA,DIFICIL
ASSINCRONO,DIFICIL
CONSISTENCIA,DIFICIL
OTIMIZACAO,DIFICIL
INTEGRIDADE,DIFICIL
MUTEX,DIFICIL
DEADLOCK,DIFICIL
DESEMPENHO,DIFICIL
ESCALABILIDADE,DIFICIL

CASA,FACIL
MESA,FACIL
CADEIRA,FACIL
FLORESTA,FACIL
CARRO,FACIL
CACHORRO,FACIL
GATO,FACIL
JANELA,FACIL
PORTA,FACIL
SORRISO,FACIL
SAPATO,FACIL
PANELA,FACIL
FRUTA,FACIL
BOLA,FACIL
RIO,FACIL
PRAIA,FACIL
FRIO,FACIL
CALOR,FACIL
ESCOLA,FACIL
LIVRO,FACIL
RUA,FACIL
CAMISA,FACIL
NOITE,FACIL
DIA,FACIL
FAMILIA,FACIL
AMIGO,FACIL
CIUME,FACIL
VIDA,FACIL
SONHO,FACIL
FESTA,FACIL
FOLHA,FACIL
PLANTA,FACIL
LUZ,FACIL
CAMA,FACIL
MOTO,FACIL
TRAVESSEIRO,FACIL
CELULAR,FACIL
VIAGEM,FACIL
FILME,FACIL
VERAO,FACIL
BRINQUEDO,FACIL
BRINCAR,FACIL
HORTA,FACIL
CASA,FACIL
BOLA,FACIL
GATO,FACIL
SOL,FACIL
LUA,FACIL
FLOR,FACIL
HORTA,FACIL
MESA,FACIL
CADEIRA,FACIL
RUA,FACIL
LIVRO,FACIL
FOGO,FACIL
CHUVA,FACIL
DOCE,FACIL
AMOR,FACIL
PAZ,FACIL
AMIGO,FACIL
ESCOLA,FACIL
CARRO,FACIL
JANELA,FACIL
PORTA,FACIL
SAPATO,FACIL
CACHORRO,FACIL
COMIDA,FACIL
TRABALHO,FACIL
PEIXE,FACIL
LEITE,FACIL
SUCO,FACIL
BOLO,FACIL
ARROZ,FACIL
OVO,FACIL
SAL,FACIL
MEL,FACIL
MANTEIGA,FACIL
QUEIJO,FACIL
FRUTA,FACIL
BANANA,FACIL
UVA,FACIL
PERA,FACIL
LARANJA,FACIL
TERRA,FACIL
MAR,FACIL
RIO,FACIL
PRAIA,FACIL
VENTO,FACIL
AREIA,FACIL
PEDRA,FACIL
FOLHA,FACIL
SEMENTE,FACIL
TARDE,FACIL
ANEL,FACIL
BOLSA,FACIL
CHAVE,FACIL
RELOGIO,FACIL
OCULOS,FACIL
PAPEL,FACIL
CANETA,FACIL
LAPIS,FACIL
BORRACHA,FACIL
CADERNO,FACIL
MOEDA,FACIL
NOTA,FACIL
BILHETE,FACIL
CAIXA,FACIL
SACOLA,FACIL
ROUPA,FACIL
MEIA,FACIL
CASACO,FACIL
TOALHA,FACIL
SABONETE,FACIL
SHAMPOO,FACIL
ESPELHO,FACIL
ESCOVA,FACIL
PASTA,FACIL
DENTE,FACIL
UNHA,FACIL
CABELO,FACIL
ROSTO,FACIL
OLHO,FACIL
ORELHA,FACIL
NARIZ,FACIL
BOCA,FACIL
MAO,FACIL
PE,FACIL
BRAÇO,FACIL
PERNA,FACIL
CORPO,FACIL
TEMPO,FACIL
HORA,FACIL
MINUTO,FACIL
SEGUNDO,FACIL
MES,FACIL
ANO,FACIL
HOJE,FACIL
ONTEM,FACIL
AMANHA,FACIL
CEDO,FACIL
TARDE,FACIL
NOITEZINHA,FACIL
CAMINHO,FACIL
TECLADO,FACIL
MOUSE,FACIL
TELA_TOUCH,FACIL
SITE,FACIL
LOGIN,FACIL
LOGOUT,FACIL
USUARIO,FACIL
PERFIL,FACIL
FOTO,FACIL
VIDEO,FACIL
AUDIO,FACIL
DOWNLOAD,FACIL
UPLOAD,FACIL
LINK,FACIL
BOTAO,FACIL
MENU,FACIL
ICONE,FACIL
PAINEL,FACIL
PLATAFORMA,FACIL
SERVIDOR,FACIL
NAVEGACAO,FACIL
PESQUISA,FACIL
BUSCA,FACIL
CHAT,FACIL
MENSAGEM,FACIL
NOTIFICACAO,FACIL
ATUALIZACAO,FACIL
BACKUP,FACIL
ACESSO,FACIL
CONTA,FACIL
VIRTUALIZACAO,DIFICIL
CONTEINERIZACAO,DIFICIL
ORQUESTRACAO,DIFICIL
MICROSERVICOS,DIFICIL
OBSERVABILIDADE,DIFICIL
TELEMETRIA,DIFICIL
CRIPTOGRAFIA_ASSIMETRICA,DIFICIL
HASHING,DIFICIL
AUTENTICACAO,DIFICIL
AUTORIZACAO,DIFICIL
FEDERACAO,DIFICIL
BALANCEAMENTO,DIFICIL
REPLICACAO,DIFICIL
SHARDING,DIFICIL
CACHEAMENTO,DIFICIL
INVALIDACAO,DIFICIL
CONSISTENCIA_EVENTUAL,DIFICIL
FAULT_TOLERANCE,DIFICIL
HIGH_AVAILABILITY,DIFICIL
ESCALONAMENTO,DIFICIL
PARALELISMO,DIFICIL
VETORIZACAO,DIFICIL
COMPILACAO_JIT,DIFICIL
INTERPRETACAO,DIFICIL
LATENCY_HIDING,DIFICIL
MEMORY_LEAK,DIFICIL
RACE_CONDITION,DIFICIL
SANDBOXING,DIFICIL
ISOLAMENTO,DIFICIL
ENDERECAMENTO,DIFICIL
VONTADE,DIFICIL
OUSADIA,DIFICIL
EMPATIA,DIFICIL
RESILIENCIA,DIFICIL
AMBIGUIDADE,DIFICIL
DIGNIDADE,DIFICIL
SERENIDADE,DIFICIL
ANTAGONISMO,DIFICIL
PROSPERIDADE,DIFICIL
TRANSCENDENCIA,DIFICIL
PRECONCEITO,DIFICIL
INTEGRIDADE,DIFICIL
ANGUSTIA,DIFICIL
MELANCOLIA,DIFICIL
CONSCIENCIA,DIFICIL
SABEDORIA,DIFICIL
INJUSTICA,DIFICIL
VIRTUDE,DIFICIL
VULNERABILIDADE,DIFICIL
INSIGHT,DIFICIL
PERSISTÊNCIA,DIFICIL
RESILIÊNCIA,DIFICIL
CONSCIÊNCIA,DIFICIL
DETERMINAÇÃO,DIFICIL
AUTONOMIA,DIFICIL
SENSIBILIDADE,DIFICIL
RESPONSABILIDADE,DIFICIL
CRIATIVIDADE,DIFICIL
DISCIPLINA,DIFICIL
FLEXIBILIDADE,DIFICIL
COMPLEXIDADE,DIFICIL
INTELIGÊNCIA,DIFICIL
TRANSCENDÊNCIA,DIFICIL
SUBJETIVIDADE,DIFICIL
PLURALIDADE,DIFICIL
SOLIDARIEDADE,DIFICIL
COOPERAÇÃO,DIFICIL
AUTOCONHECIMENTO,DIFICIL
PERSEVERANÇA,DIFICIL
METACOGNIÇÃO,DIFICIL
PRIORIDADE,DIFICIL
ADVERSIDADE,DIFICIL
PROATIVIDADE,DIFICIL
ASSERTIVIDADE,DIFICIL
AMBIGUIDADE,DIFICIL
INTERPRETAÇÃO,DIFICIL
COMPREENSÃO,DIFICIL
ARGUMENTAÇÃO,DIFICIL
CONTRADIÇÃO,DIFICIL
ABSTRAÇÃO,DIFICIL
IMAGINAÇÃO,DIFICIL
CONCENTRAÇÃO,DIFICIL
SISTEMATIZAÇÃO,DIFICIL
ORGANIZAÇÃO,DIFICIL
PLANEJAMENTO,DIFICIL
HABILIDADE,DIFICIL
COERÊNCIA,DIFICIL
EQUILÍBRIO,DIFICIL
ADAPTAÇÃO,DIFICIL
PERCEPÇÃO,DIFICIL
SIGNIFICADO,DIFICIL
ESSENCIAL,DIFICIL
EXISTÊNCIA,DIFICIL
IDENTIDADE,DIFICIL
RACIONALIDADE,DIFICIL
EMPREENDEDORISMO,DIFICIL
SUSTENTABILIDADE,DIFICIL
COMUNICAÇÃO,DIFICIL
INTEGRIDADE,DIFICIL
CONFIABILIDADE,DIFICIL
PROFISSIONALISMO,DIFICIL
EPISTEMOLOGIA,DIFICIL
ONTOLOGIA,DIFICIL
HEURISTICA,DIFICIL
DETERMINISMO,DIFICIL
PROBABILIDADE,DIFICIL
CAUSALIDADE,DIFICIL
INFERENCIA,DIFICIL
GENERALIZACAO,DIFICIL
FORMALIZACAO,DIFICIL
MODELAGEM,DIFICIL
ESTRUTURACAO,DIFICIL
NORMALIZACAO,DIFICIL
PARAMETRIZACAO,DIFICIL
SERIALIZACAO,DIFICIL
DESAMBIGUACAO,DIFICIL
INTEROPERABILIDADE,DIFICIL
MODULARIDADE,DIFICIL
REUSABILIDADE,DIFICIL
EXTENSIBILIDADE,DIFICIL
PORTABILIDADE,DIFICIL
OBSERVABILIDADE,DIFICIL
RASTREAMENTO,DIFICIL
VERSIONAMENTO,DIFICIL
ENCAPSULAMENTO,DIFICIL
DESACOPLAMENTO,DIFICIL
LATENCIA,DIFICIL
THROUGHPUT,DIFICIL
CONCORRENCIA,DIFICIL
IDEMPOTENCIA,DIFICIL
CONSENSO,DIFICIL
TOLERANCIA,DIFICIL
ROBUSTEZ,DIFICIL
CONFIANCA,DIFICIL
REDUNDANCIA,DIFICIL
DEGRADACAO,DIFICIL
PROPAGACAO,DIFICIL
SINERGIA,DIFICIL
EMERGENTE,DIFICIL
PARADOXO,DIFICIL
DIALETICA,DIFICIL
HERMENEUTICA,DIFICIL
PRAGMATISMO,DIFICIL
UTILITARISMO,DIFICIL
FENOMENOLOGIA,DIFICIL
HEGEMONIA,DIFICIL
ASSIMETRIA,DIFICIL
LINEARIDADE,DIFICIL
RECORRENCIA,DIFICIL
ESTOCASTICO,DIFICIL
